FALSE,Assigned,Customer,,FORMULA, Current , 1 - 30 , 31 - 60 , 61 - 90 , > 90 , TOTAL ,Account Status,Collection Status,PHASE,COMMUNICATION SCHEDULE,Note/Contact Date,Collections Team - Notes,Upcoming Payment ,Action Item / Follow-up Items,Mgt. Note Date,Local Management Notes,Days since contact,As Of Date,CPR Status,# Of Jobs In Progress,"# Of Jobs Completed, Pending Payment",CPR Notes,Company
,Josie,Fresno ,"UNWIRED BROADBAND, LLC",," UNWIRED BROADBAND, LLC "," $ 2,091.60 "," $ 1,073.40 ", $ -   , $ -   , $ -   ," $ 3,165.00 ",Active,Contacted,COLLECTION TEAM,BI-WEEKLY,46161,Jen responded to yesterdays email Said when they have a check ready and she wil call me to pick up ,,,,2,,,,,,TCS
,Josie,O.C,"SHOFFEIT PIPELINE, INC.",," SHOFFEIT PIPELINE, INC. ", $ -   , $ -   , $ -   , $ 601.53 , $ -   , $ 601.53 ,Active,Contacted,COLLECTION TEAM,BI-WEEKLY,46147,Called left voice mail on past due invoice 00003816 ,,,,16,,,,,,STS
,Victoria,not on tcr TCS!!!!,MONARCH PIPELINE & HYDROVAC (CASH),, MONARCH PIPELINE & HYDROVAC (CASH) , $ -   , $ -   , $ -   , $ -   ," $ 31,398.40 "," $ 31,398.40 ",ON HOLD,Roadblock,VP/HIGH LEVEL,BRANCH MANAGER!!!,46113,victoria is working on it ,,,,50,,,,,,TCS
,Ashley,OC ,VCI CONSTRUCTION LLC,, VCI CONSTRUCTION LLC , $ -   , $ -   , $ -   , $ -   ," $ 20,598.85 "," $ 20,598.85 ",Active,Roadblock,VP/HIGH LEVEL,BRANCH MANAGER!!!,46113,called requested payment.  kelly asked for a statement. system down. will work on it asap,do not call per jordan ,6/19/25,***ashley sent open bal to customer*** 12-4-24 some invoices need to be voided by victora.,50,,,,,,TCS
,Victoria,Fresno ,HAYDON CONSTRUCTION,, HAYDON CONSTRUCTION , $ -   , $ -   ," $ 3,086.00 "," $ 11,279.42 "," $ 1,415.16 "," $ 15,780.58 ",Active,Union Letter,COLLECTION TEAM,DO NOT CALL,46127,Responded to yesterday's email said they have not been paid yet ,DO NOT CALL PER JORDAN ,5/30/25,hammer -union letters certified  ,36,1/27/2025,"Completed, Pending Payment",,4,"62709 , 62906 , 62503 , 62708 Pending Payment",INC
,Lui,Modesto / Fresno / Sacramento  ,George Reed Inc,, George Reed Inc , $ -   , $ -   ," $ 2,280.00 ", $ -   ," $ 6,444.70 "," $ 8,724.70 ",Active,Union Letter,VP/HIGH LEVEL,DO NOT CALL,46031,"requested to pick up a check for oustanding balance. 
the maddison for the company requested union letter and sre not going to do joint checks. they have placed us on DO NOT USE stat. if we request union letters ever again they will no longer do business with us. phone#209-602-3234",(louie 3/20/25) spoke with serena she will try to get us payment for invoice 163415 on the 24th for the amount of $7k waiting on union lette hold on contactin. ,4/9/25,(DH) Asked for payment and sent open balance report,132,1/27/2025,"Completed, Pending Payment",,5,"62933 , 62834 , 63068 , 63072 ,62836 Payment ready to be made",INC
,Lui,Fresno / Bakersfield / Visalia,MCM Construction,, MCM Construction , $ -   , $ -   , $ -   , $ -   ," $ 1,635.80 "," $ 1,635.80 ",Active,Uncollectable,BRANCH MANAGER,DO NOT CALL,46076,requested update on customer ,,,,87,1/27/2025,In Progress,1,,62945 Waiting for more CPR,INC
,Victoria,OC /Bakersfield ,"Insituform Technologies, LLC",," Insituform Technologies, LLC ", $ -   ," $ 1,545.00 ", $ -   , $ -   , $ -   ," $ 1,545.00 ",Active,Contacted,VP/HIGH LEVEL,DO NOT CALL,46133,Per Jordan do not contact Victoria and  Jordan are dealing with this account ,,,,30,1/27/2025,"Completed, Pending Payment",,1,62747,INC
,Lui,,MASTEC (FRESNO/VISALIA),,  ,,,,,,,Active,Not Contacted,DO NOT CONTACT!,DO NOT CALL,46113,jordan working on it ,,,,50,,,,,,INC
,Victoria,Fresno / OC ,"INSITUFORM TECHNOLOGIES, LLC",," INSITUFORM TECHNOLOGIES, LLC ", $ -   ," $ 52,391.00 "," $ 15,494.20 "," $ 3,032.40 ", $ -   ," $ 70,917.60 ",Active,Contacted,VP/HIGH LEVEL,DO NOT CALL,46118,emailed payment information dated 4/2/26  I emailed her back asking if it was Fed ex waiting on response ,,,,45,,,,,,STS
